         47986 function calls (47854 primitive calls) in 2.871 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       87    0.000    0.000    0.000    0.000 utils.py:652(to_native_string)
       29    0.002    0.000    0.005    0.000 utils.py:68(get_netrc_auth)
        1    0.000    0.000    0.005    0.005 {__import__}
       58    0.000    0.000    0.000    0.000 {_codecs.utf_8_decode}
        1    0.023    0.023    0.023    0.023 {_socket.getaddrinfo}
        2    0.000    0.000    0.000    0.000 {_sre.compile}
       29    0.000    0.000    0.000    0.000 {all}
       30    0.000    0.000    0.000    0.000 {any}
      320    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x91f8e0}
       58    0.018    0.000    0.018    0.000 {built-in method decompress}
       29    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       28    0.000    0.000    0.000    0.000 {built-in method poll}
       28    0.000    0.000    0.001    0.000 {built-in method register}
       58    0.001    0.000    0.001    0.000 {built-in method utcnow}
      725    0.001    0.000    0.001    0.000 {cStringIO.StringIO}
        1    0.000    0.000    0.000    0.000 {filter}
      785    0.001    0.000    0.001    0.000 {getattr}
      759    0.002    0.000    0.002    0.000 {hasattr}
     1713    0.003    0.000    0.008    0.000 {isinstance}
     23/6    0.000    0.000    0.000    0.000 {issubclass}
2635/2633    0.002    0.000    0.002    0.000 {len}
      146    0.000    0.000    0.000    0.000 {map}
       58    0.000    0.000    0.000    0.000 {max}
       18    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
      281    0.000    0.000    0.000    0.000 {method 'acquire' of 'thread.lock' objects}
       43    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     1101    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.008    0.008    0.008    0.008 {method 'connect' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       58    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
       58    0.000    0.000    0.001    0.000 {method 'decode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       29    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
  232/145    0.001    0.000    0.007    0.000 {method 'encode' of 'unicode' objects}
      609    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       60    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       28    0.000    0.000    0.000    0.000 {method 'fileno' of '_socket.socket' objects}
      986    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
       87    0.000    0.000    0.000    0.000 {method 'find' of 'unicode' objects}
       58    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     1980    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
       29    0.000    0.000    0.000    0.000 {method 'getvalue' of 'cStringIO.StringO' objects}
        1    0.000    0.000    0.000    0.000 {method 'groups' of '_sre.SRE_Match' objects}
       58    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
     2320    0.001    0.000    0.001    0.000 {method 'isspace' of 'str' objects}
      615    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      380    0.001    0.000    0.028    0.000 {method 'join' of 'str' objects}
      175    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     5977    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
       29    0.000    0.000    0.000    0.000 {method 'lower' of 'unicode' objects}
       30    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       62    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       29    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      609    0.001    0.000    0.001    0.000 {method 'read' of 'cStringIO.StringO' objects}
        1    0.002    0.002    0.002    0.002 {method 'read' of 'file' objects}
      609    0.001    0.000    0.001    0.000 {method 'readline' of 'cStringIO.StringO' objects}
       87    2.651    0.030    2.651    0.030 {method 'recv' of '_socket.socket' objects}
      213    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
        2    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       21    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       87    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     1334    0.001    0.000    0.001    0.000 {method 'seek' of 'cStringIO.StringO' objects}
       29    0.001    0.000    0.001    0.000 {method 'sendall' of '_socket.socket' objects}
      657    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
      175    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       29    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
      205    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
       58    0.000    0.000    0.000    0.000 {method 'split' of 'unicode' objects}
      262    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       29    0.000    0.000    0.000    0.000 {method 'startswith' of 'unicode' objects}
      930    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      725    0.000    0.000    0.000    0.000 {method 'tell' of 'cStringIO.StringO' objects}
        2    0.000    0.000    0.000    0.000 {method 'tolist' of 'array.array' objects}
        2    0.000    0.000    0.000    0.000 {method 'tostring' of 'array.array' objects}
        1    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      116    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      116    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      667    0.003    0.000    0.003    0.000 {method 'write' of 'cStringIO.StringO' objects}
       70    0.000    0.000    0.000    0.000 {min}
        7    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 {posix.popen}
       58    0.001    0.000    0.001    0.000 {posix.stat}
        1    0.000    0.000    0.000    0.000 {posix.uname}
       70    0.000    0.000    0.000    0.000 {range}
       28    0.000    0.000    0.000    0.000 {select.poll}
        6    0.000    0.000    0.000    0.000 {setattr}
       91    0.000    0.000    0.000    0.000 {thread.allocate_lock}
      350    0.000    0.000    0.000    0.000 {thread.get_ident}
      145    0.000    0.000    0.000    0.000 {time.time}
       29    0.000    0.000    0.000    0.000 {zlib.decompressobj}


